,Province,Inhabitants,Land area,Inhabitants per square km,Average household income,Latitude,Longitude,Number of cinemas,Number of cinemas per inhabitant,Number of cinemas per square km,Number of cinemas per inhabitant times square km,Number of inhabitants per cinema,Number of potential customers for a new cinema,Label,Mean number of cinemas per inhabitant,Mean number of cinemas per square km,Mean number of cinemas per inhabitant times square km,Std number of cinemas per inhabitant,Std number of cinemas per square km,Std number of cinemas per inhabitant times square km
's-Hertogenbosch,Noord-Brabant,154231,110.25,1392.0,30100.0,51.709969799999996,5.29191613945104,2.8,1.8154586302364635e-05,0.025396825396825397,0.002001543139835701,55082.5,40587,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Aa en Hunze,Drenthe,25386,276.09,92.0,30700.0,52.98143929999999,6.72945206177796,0.1,3.9391790750807535e-06,0.000362200731645478,0.001087567950839045,253860.0,23078,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Aalsmeer,Noord-Holland,31724,20.12,1566.0,34000.0,52.265834399999996,4.766170039669309,2.4,7.565250283696885e-05,0.11928429423459244,0.0015221283570798134,13218.333333333334,9330,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Aalten,Gelderland,27007,96.54,279.0,27800.0,51.92856679999999,6.5809017999999995,0.1,3.7027437331062318e-06,0.0010358400662937642,0.0003574628799940756,270070.0,24551,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Achtkarspelen,Friesland,27871,102.23,273.0,25500.0,53.20751675,6.15076370517544,0.1,3.5879588102328588e-06,0.0009781864423359092,0.00036679702917010517,278710.0,25337,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Alblasserdam,Zuid-Holland,20060,8.78,2280.0,28800.0,51.8599524,4.666202275442481,1.8,8.97308075772682e-05,0.2050113895216401,0.0007878364905284147,11144.444444444443,7164,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Albrandswaard,Zuid-Holland,25292,21.69,1163.0,34400.0,51.8524269,4.43528536264633,5.0,0.00019769096947651433,0.2305209774089442,0.0042879171279455956,5058.4,4215,3,0.0002630518942516105,0.16837823415237024,0.006811689234400736,6.809743530881317e-05,0.07247212850785036,0.0027467097958134594
Alkmaar,Noord-Holland,108578,110.46,982.0,28600.0,52.63373645,4.7402031936764,1.4,1.2893956418427305e-05,0.012674271229404309,0.00142426642597948,77555.71428571429,45240,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Almelo,Overijssel,72883,67.27,1080.0,25700.0,52.3567956,6.6672527763410905,1.0,1.3720620720881413e-05,0.014865467518953472,0.0009229861558936926,72883.0,36441,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Almere,Flevoland,207819,129.19,1579.0,28800.0,52.44175125,5.209294310432759,0.9,4.330691611450349e-06,0.006966483473953093,0.0005594820492832705,230910.0,109378,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Alphen aan den Rijn,Zuid-Holland,111036,126.23,869.0,30900.0,52.1343369,4.6561357,1.2,1.0807305738679347e-05,0.009506456468351422,0.001364206203393494,92530.0,50470,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Alphen-Chaam,Noord-Brabant,10139,93.04,108.0,32500.0,51.50689565,4.87135986651391,1.2,0.00011835486734391952,0.01289767841788478,0.011011736857678273,8449.166666666668,4608,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
