,Municipality,Province,Inhabitants,Total area,Land area,Inhabitants per square km,Average household income,Latitude,Longitude
0,Aa en Hunze,Drenthe,25386.0,278.87,276.09,92.0,30700.0,52.9814393,6.72945206177796
1,Aalsmeer,Noord-Holland,31724.0,32.29,20.12,1566.0,34000.0,52.2658344,4.76617003966931
2,Aalten,Gelderland,27007.0,97.05,96.54,279.0,27800.0,51.9285668,6.5809018
3,Achtkarspelen,Friesland,27871.0,103.98,102.23,273.0,25500.0,53.20751675,6.15076370517544
4,Alblasserdam,Zuid-Holland,20060.0,10.06,8.78,2280.0,28800.0,51.8599524,4.66620227544248
5,Albrandswaard,Zuid-Holland,25292.0,23.76,21.69,1163.0,34400.0,51.8524269,4.43528536264633
6,Alkmaar,Noord-Holland,108578.0,117.35,110.46,982.0,28600.0,52.63373645,4.7402031936764
7,Almelo,Overijssel,72883.0,69.41,67.27,1080.0,25700.0,52.3567956,6.66725277634109
8,Almere,Flevoland,207819.0,248.77,129.19,1579.0,28800.0,52.44175125,5.20929431043276
9,Alphen aan den Rijn,Zuid-Holland,111036.0,132.5,126.23,869.0,30900.0,52.1343369,4.6561357
10,Alphen-Chaam,Noord-Brabant,10139.0,93.52,93.04,108.0,32500.0,51.50689565,4.87135986651391
11,Altena,Noord-Brabant,55391.0,,,,,51.2990263,7.6734841
12,Ameland,Friesland,3674.0,268.5,59.11,62.0,,53.40670555,5.74915904890865
13,Amersfoort,Utrecht (provincie),156294.0,63.86,62.62,2479.0,30900.0,52.1637739,5.3965879493517
14,Amstelveen,Noord-Holland,90827.0,44.08,41.13,2185.0,34300.0,52.2862177,4.85264925974603
15,Amsterdam,Noord-Holland,863202.0,219.49,165.5,5160.0,29700.0,52.3745403,4.89797550561798
16,Apeldoorn,Gelderland,162456.0,341.15,339.89,474.0,29200.0,52.2156457,5.9639485
17,Appingedam,Groningen (provincie),11713.0,24.58,23.78,496.0,24900.0,53.31872515,6.84417106967252
18,Arnhem,Gelderland,159277.0,101.54,97.82,1607.0,26300.0,52.0056642,5.87623450776413
19,Assen,Drenthe,67970.0,83.45,81.89,827.0,27200.0,52.99037165,6.55337777064233
20,Asten,Noord-Brabant,16714.0,71.34,70.17,238.0,29900.0,51.4043498,5.7449218
21,Baarle-Nassau,Noord-Brabant,6848.0,76.29,76.14,89.0,29800.0,51.4432069,4.930569
22,Baarn,Utrecht (provincie),24764.0,33.01,32.54,757.0,34700.0,52.2002549,5.26914339331394
23,Barendrecht,Zuid-Holland,48688.0,21.73,19.75,2455.0,33500.0,51.85193795,4.52938352520747
24,Barneveld,Gelderland,57960.0,176.66,175.9,326.0,30500.0,52.142479,5.5866392
25,Beek,Limburg,15927.0,21.03,21.03,756.0,29900.0,51.50796195,5.10965934173815
26,Beekdaelen,Limburg,35722.0,,,,,50.93449595,5.88869051100548
27,Beemster,Noord-Holland,9748.0,72.07,70.58,135.0,34300.0,52.56245505,4.91986790415572
28,Beesel,Limburg,13526.0,29.15,27.99,480.0,28100.0,51.26488805,6.03773593672602
29,Berg en Dal,Gelderland,34766.0,93.31,86.35,402.0,29100.0,51.825881,5.9100531
30,Bergeijk,Noord-Brabant,18497.0,101.75,101.0,182.0,31700.0,51.30452025,5.31841374716957
31,Bergen (Limburg),Limburg,13134.0,108.5,103.24,127.0,28100.0,51.6060195,6.05767144450122
32,Bergen (Noord-Holland),Noord-Holland,29965.0,120.23,98.96,303.0,35800.0,52.6676625,4.7080403
33,Bergen op Zoom,Noord-Brabant,66805.0,93.13,79.96,830.0,28300.0,51.4965864,4.28974079726371
34,Berkelland,Gelderland,43899.0,260.21,258.06,171.0,28500.0,52.10152,6.61840457688394
35,Bernheze,Noord-Brabant,30802.0,90.41,89.73,340.0,31800.0,51.68353285,5.52124281647705
36,Best,Noord-Brabant,29823.0,35.1,34.3,860.0,32299.999999999996,51.510017,5.39866199005647
37,Beuningen,Gelderland,25896.0,47.09,43.65,591.0,30600.0,51.85859,5.76749
38,Beverwijk,Noord-Holland,41168.0,20.09,18.4,2232.0,27900.0,52.478626,4.6732036218509
39,De Bilt,Utrecht (provincie),42809.0,67.13,66.12,648.0,35900.0,52.1038467,5.19093085070224
40,Bladel,Noord-Brabant,20175.0,75.62,75.33,267.0,30800.0,51.3667765,5.2154317
41,Blaricum,Noord-Holland,11198.0,15.56,11.11,971.0,48800.0,52.28113375,5.29371090566366
42,Bloemendaal,Noord-Holland,23409.0,45.23,39.79,583.0,50800.0,52.4036594,4.6197687
43,Bodegraven-Reeuwijk,Zuid-Holland,34470.0,88.64,75.38,450.0,34100.0,52.0677553,4.7575800066386
44,Boekel,Noord-Brabant,10587.0,34.52,34.51,304.0,30500.0,51.60571795,5.67482198339827
46,Borger-Odoorn,Drenthe,25359.0,277.89,274.53,92.0,27900.0,52.9000925,6.88216148192829
48,Borsele,Zeeland,22801.0,194.52,141.57,160.0,29800.0,51.4289113,3.83588438663442
49,Boxmeer,Noord-Brabant,29059.0,113.84,111.44,259.0,30100.0,51.6486483,5.9450972
50,Boxtel,Noord-Brabant,30738.0,64.85,63.73,481.0,29500.0,51.5903233,5.30587934176726
51,Breda,Noord-Brabant,184069.0,128.68,125.74,1459.0,30300.0,51.5644477,4.75122959738863
52,Brielle,Zuid-Holland,17184.0,31.14,27.55,619.0,32800.0,51.907479,4.16708617673985
53,Bronckhorst,Gelderland,36219.0,286.42,283.5,128.0,31000.0,52.0529087,6.26927478134942
54,Brummen,Gelderland,20672.0,85.01,83.65,248.0,30000.0,52.087327,6.1568633
55,Brunssum,Limburg,28121.0,17.34,17.25,1637.0,25700.0,50.94382155,5.97482508471928
56,Bunnik,Utrecht (provincie),15188.0,37.57,36.97,412.0,35200.0,52.0663338,5.1941182
57,Bunschoten,Utrecht (provincie),21588.0,34.81,30.38,700.0,30800.0,52.2391726,5.3735818
58,Buren,Gelderland,26578.0,142.92,133.89,197.0,31900.0,51.9112553,5.3338217
59,Capelle aan den IJssel,Zuid-Holland,66822.0,15.4,14.14,4728.0,28600.0,51.9358538,4.58946093551115
60,Castricum,Noord-Holland,35754.0,60.4,49.68,717.0,34400.0,52.55883055,4.63967552620015
61,Coevorden,Drenthe,35497.0,299.69,296.07,119.0,28300.0,52.65266925,6.73931888700973
62,Cranendonck,Noord-Brabant,20436.0,78.05,76.4,266.0,30200.0,51.3040507,5.5887741
63,Cuijk,Noord-Brabant,24931.0,57.07,51.16,487.0,28700.0,51.729939,5.8800458
64,Culemborg,Gelderland,28544.0,31.14,29.29,963.0,30100.0,51.94933145,5.20921518362178
65,Dalfsen,Overijssel,28487.0,166.52,165.07,171.0,30400.0,52.5111721,6.253911
67,Delft,Zuid-Holland,103217.0,24.06,22.65,4514.0,28200.0,51.9994572,4.362724538544
68,Delfzijl,Groningen (provincie),24709.0,227.5,133.07,187.0,25800.0,53.3809218,6.93109835966104
69,Deurne,Noord-Brabant,32354.0,118.36,116.93,275.0,29500.0,51.4611926,5.7914611
70,Deventer,Overijssel,99941.0,134.33,130.68,763.0,27600.0,52.24927325,6.17613063984559
71,Diemen,Noord-Holland,29205.0,14.04,11.99,2345.0,29500.0,52.3350493,4.98428432770381
72,Dinkelland,Overijssel,26340.0,176.83,175.71,150.0,30800.0,52.3714488,6.91506661931692
73,Doesburg,Gelderland,11142.0,12.96,11.53,983.0,26800.0,52.0187505,6.15155827430855
74,Doetinchem,Gelderland,57543.0,79.66,79.05,726.0,28000.0,51.9655192,6.2891093
75,Dongen,Noord-Brabant,26061.0,29.74,29.24,881.0,29800.0,51.6247384,4.9366784
76,Dordrecht,Zuid-Holland,118667.0,99.47,78.54,1508.0,27900.0,51.8075316,4.6677478
77,Drechterland,Noord-Holland,19604.0,80.59,58.89,330.0,31000.0,52.65570515,5.18535946066344
78,Drimmelen,Noord-Brabant,27162.0,119.43,95.18,284.0,31300.0,51.7081516,4.8046508
79,Dronten,Flevoland,40797.0,423.89,333.57,122.0,29000.0,52.53172775,5.75053478514506
80,Druten,Gelderland,18790.0,42.46,37.64,497.0,29600.0,51.88473605,5.60042658345203
81,Duiven,Gelderland,25339.0,35.19,33.9,750.0,29600.0,51.9495859,6.024594
82,Echt-Susteren,Limburg,31646.0,104.62,103.07,308.0,29000.0,51.0821352,5.8991255475337
83,Edam-Volendam,Noord-Holland,36094.0,80.0,54.33,662.0,33000.0,52.54861165,5.02661566420633
84,Ede,Gelderland,115732.0,318.62,318.18,360.0,30000.0,52.0458265,5.6702011
85,Eemnes,Utrecht (provincie),9117.0,33.7,31.04,294.0,33700.0,52.2547415,5.28607099551365
86,Eersel,Noord-Brabant,19111.0,83.33,82.46,228.0,35000.0,51.3586373,5.3201315
87,Eijsden-Margraten,Limburg,25654.0,78.76,77.74,329.0,32100.0,50.8049942,5.76828165223431
88,Eindhoven,Noord-Brabant,231469.0,88.92,87.66,2614.0,28900.0,51.4392648,5.478633
90,Emmen,Drenthe,107111.0,346.26,335.18,320.0,26200.0,52.78183695,6.90087452632109
91,Enkhuizen,Noord-Holland,18510.0,116.25,12.68,1457.0,28200.0,52.7577195,5.32069409037035
92,Enschede,Overijssel,158961.0,142.72,140.83,1124.0,25400.0,52.22336325,6.87059566409799
93,Epe,Gelderland,33151.0,157.37,156.07,211.0,29600.0,52.3467875,5.9837267
94,Ermelo,Gelderland,26855.0,87.33,85.63,313.0,31100.0,52.30015,5.62302
95,Etten-Leur,Noord-Brabant,43786.0,55.92,55.3,787.0,29400.0,51.57593705,4.64322159394737
96,De Friese Meren,Friesland,51442.0,549.1,351.29,147.0,28700.0,52.9597686,5.9320827
97,Geertruidenberg,Noord-Brabant,21515.0,29.64,26.63,808.0,29700.0,51.69646695,4.84674311245734
98,Geldrop-Mierlo,Noord-Brabant,39588.0,31.39,31.01,1266.0,30000.0,51.43182315,5.591809905322
99,Gemert-Bakel,Noord-Brabant,30458.0,123.34,122.14,248.0,29300.0,51.5410462,5.75536124470455
100,Gennep,Limburg,17072.0,50.42,47.62,358.0,28600.0,51.70096,5.96786315208325
101,Gilze en Rijen,Noord-Brabant,26451.0,65.66,65.38,402.0,29400.0,51.56323905,4.91303939100513
102,Goeree-Overflakkee,Zuid-Holland,49610.0,422.35,260.48,189.0,30300.0,51.7525798,4.12241150855911
103,Goes,Zeeland,37654.0,101.92,92.58,407.0,28900.0,51.5031144,3.88924980553989
104,Goirle,Noord-Brabant,23780.0,43.38,42.99,549.0,31200.0,51.5239585,5.0661977
105,Gooise Meren,Noord-Holland,57709.0,75.22,41.59,1378.0,38200.0,52.322224,5.10455678556377
106,Gorinchem,Zuid-Holland,36679.0,21.93,18.83,1927.0,28800.0,51.8421872,4.97460046726009
107,Gouda,Zuid-Holland,73161.0,18.11,16.5,4405.0,28900.0,52.01811935,4.7111221346978
108,Grave,Noord-Brabant,12478.0,28.03,27.18,457.0,29500.0,51.76025475,5.7338862339303
109,Den Haag,Zuid-Holland,537988.0,98.13,82.45,6459.0,28300.0,52.07494555,4.26968022053645
110,Groningen (gemeente),Groningen (provincie),231354.0,101.5,94.92,2137.0,25700.0,53.21640915,6.50103512434397
111,Gulpen-Wittem,Limburg,14258.0,73.36,73.18,194.0,29300.0,50.79962605,5.8905296752731
112,Haaksbergen,Overijssel,24270.0,105.5,104.82,232.0,29200.0,52.16212075,6.77535377710186
113,Haaren,Noord-Brabant,14192.0,58.56,57.7,244.0,34800.0,51.6036127,5.2272278
114,Haarlem,Noord-Holland,161213.0,32.09,29.17,5476.0,30300.0,52.38370575,4.64355969655963
115,Haarlemmermeer,Noord-Holland,154223.0,185.13,178.26,826.0,32600.0,52.3238421,4.71526124887601
116,Halderberge,Noord-Brabant,30191.0,75.21,74.47,401.0,29500.0,51.58976405,4.51348332101128
117,Hardenberg,Overijssel,60575.0,317.15,312.28,194.0,27900.0,52.5691252,6.61593837861793
118,Harderwijk,Gelderland,47572.0,48.27,38.89,1204.0,28700.0,52.33599915,5.64027152139206
119,Hardinxveld-Giessendam,Zuid-Holland,18053.0,19.35,16.91,1062.0,29400.0,51.83862405,4.82461042390934
